652835,1,60
31425,65,458
205,1,1
839351,1,1
45,1,2
177732,7,1965294
999017,2,1057
197362,1,123
902507,4,183
253288,7,1969977
101385,5,1957236
544125,1,1
1175237,1,1
1064187,9,1708303
244837,1,1
681407,1,1
574,1,72
196718,1,72
8323,9,5331
92121,1,2
36770,8,2583
564921,1,1
245598,1,123
5181,2,314
11608,2,314
20750,3,282
87565,9,208
1175602,1,1
240545,65,1951986
136706,9,8496
626713,65,1711731
1171092,4,730
98,1,1
7329,3,610
660226,5,1966400
3745,1,119
229120,7,1965294
63123,9,1515864
18706,1,10
1170814,1,49
51834,3,282
113,1,1
165319,9,378
34,1,2
980951,4,183
22252,1,61
73338,65,4183
1012461,9,1017
1088030,9,1515864
544147,1,1
28119,6,762
1170682,2,223
18456,2,455
24863,2,314
1169302,2,650
1167520,7,1965294
544199,1,2
8078,4,706
21469,2,650
116175,9,5331
592800,1,1
67,1,2
5262,1,73
974,1,2
1168771,4,3193
545036,1,1
524561,2,223
310,1,1
169,1,1
22859,4,7279
19308,2,280
18644,3,282
23123,1,1
4948,1,61
120,1,1
289794,1,1
1168894,2,314
938001,2,552
24130,4,183
193,1,1
10637,2,314
165284,9,378
7959,2,314
780812,2,314
580411,1,1
1169137,1,104
302,1,1
245680,1,158
1394,3,244
169794,1,2
1172885,1,1
51935,65,21118
1088035,9,1515864
90963,2,627
145808,9,5331
5277,1,73
335,1,1
508199,1,99
91939,2,627
885,1,151
1170642,1,1
107210,9,1515864
89718,2,627
664,1,99
1170631,65,635
93,1,1
1168443,1,95
158,1,1
1037785,7,3631
12687,65,1711731
3990,2,314
1170460,2,292
66688,1,60
1173346,65,1711731
36420,2,223
1064198,9,1708303
1167921,6,1697
56158,1,1
474509,1,10
1012472,9,1017
18682,2,314
31028,1,2
26956,2,292
37543,3,282
96774,3,282
1012438,9,1017
886470,1,1
129347,2,627
45301,9,378
1170607,4,183
197947,4,183
9440,1,1
182,1,1
1167711,1,1
174536,6,10138
48431,3,282
33332,4,3193
1173537,65,263
84639,6,11399
147,1,1
573614,1,1
3251,4,284
61319,8,402
1170750,2,280
14024,1,99
149167,9,5331
8269,4,1517767
27342,65,458
105178,1,99
11635,1,95
240581,1,1
167657,3,282
11647,1,61
590341,1,73
46998,65,1711829
1172733,4,2131
22332,2,916
436,1,10
1173441,65,4183
2846,1,61
14328,1,60
27031,2,1057
104129,1,1
16741,1,2
89465,2,627
10940,1,104
832471,1,73
5234,1,1
12482,1,10
16293,1,60
1169891,1,72
1171798,1,1
171096,1,2
18004,1,2
20884,4,1517767
1172321,4,2131
103370,2,627
93142,2,1057
1172948,1,2
563196,1,1
110508,6,762
1164618,1,72
697,1,104
143324,2,444
461494,1,119
777,1,123
156874,9,378
54724,7,1965294
88431,3,282
206152,7,1965294
12,1,2
324031,65,1951986
1169634,4,183
223,1,1
1171472,1,2
1163229,9,5331
1064215,9,1708303
12610,2,314
16037,1,99
93375,6,762
5375,4,183
1169341,1,1
1170722,65,20860
473638,9,1017
541,1,61
1736,1,1
66,1,2
18288,1,2
1172818,1,1
171368,1,1
1171404,2,292
219320,5,1957236
1168809,1,1
105716,5,1957236
1012483,9,1017
1169939,2,650
576934,2,916
13332,4,205
593385,1,1
1172975,5,1957236
23387,2,314
1132536,8,22427
71146,8,798
216,1,1
130904,6,762
549904,1,1
277333,5,1925790
245168,1,99
89,1,1
51,1,2
1170733,1,123
97310,3,282
23026,4,7279
6749,7,21032
56030,1,1
1163168,9,1661
963,1,1
12890,4,706
1087861,4,183
694868,1,2
4360,2,292
1104427,5,1957236
1073093,7,21032
1172980,2,627
1175495,2,1057
1170910,9,8496
110017,2,627
18768,1,49
34039,6,762
130013,6,1708139
37132,4,3193
13858,3,282
1012429,9,1017
2296,4,183
23913,7,1967003
176168,2,314
124,1,1
84,1,2
1173261,1,1
2071,3,1299
499276,1,61
120587,7,1965294
93413,2,314
168202,2,314
962570,1,1
1170425,1,37
611176,1,60
9645,2,292
475275,9,8496
21471,2,314
592795,1,60
165320,9,378
8,1,2
1174991,1,1
12381,2,377
396154,1,72
31899,9,8496
163147,65,219
1175501,65,635
53539,2,761
19240,2,628
1064203,9,1708303
171770,4,1006
1168201,65,635
1092247,4,14
689,1,104
1164311,8,2583
1010336,4,14
544195,1,60
136734,9,8496
1168330,4,205
1755,1,1
8023,2,444
411,1,37
95674,1,1
1170806,4,183
57522,1,1
4981,1,1
495801,9,378
444000,65,458
307,1,1
64914,1,1
330930,5,1957236
17810,4,183
3712,3,282
413371,65,219
678,1,99
15284,1,1
967034,4,183
1172965,1,1
1172017,6,762
276,1,1
12315,9,1515864
10571,1,2
4401,1,1
2164,3,281
1224,1,95
144654,2,627
1137499,1,1
164,1,1
1064182,9,1708303
439825,1,119
83572,6,762
1813,1,1
503857,1,1
170,1,1
299953,7,1965294
1163175,9,1661
17954,1,1
1168193,1,1
9592,1,99
903723,2,650
200860,7,1965294
425,1,10
3069,1,104
72709,6,762
78,1,2
1175694,1,60
15159,4,1517767
881,1,151
49919,4,706
878860,1,1
4701,2,761
95725,1,49
526,1,60
1173000,1,2
40644,65,458
172186,1,60
51149,2,377
649,1,95
15564,6,762
104024,7,1965294
1173469,2,1057
1169222,1,1
1175981,4,906
24152,1,72
25180,4,3193
4516,4,14
675,1,99
1176139,6,762
1169533,2,314
440675,65,263
18079,1,110
3798,1,72
1173238,1,1
324,1,1
628088,2,628
924183,4,906
583877,1,119
121999,9,1515864
1064210,9,1708303
4013,2,314
1171932,1,1
1173559,65,219
557455,1,2
1170594,5,1957236
77536,1,1
8952,2,650
908718,1,1
365533,65,1711829
20743,1,1
1164222,8,798
92115,1,99
553668,1,1
41137,2,280
1170456,2,1057
35394,6,762
538311,2,377
1175428,1,1
110224,2,627
1088019,9,1515864
1164591,7,1965294
1172737,4,183
23061,4,3193
1175581,2,1057
19383,4,1517767
332,1,1
175,1,1
196474,1,1
522255,1,49
19,1,2
1169724,2,1057
64685,65,21118
20825,1,73
1164709,1,61
136730,9,8496
146954,7,1965294
918,1,158
32587,9,208
1289,1,2
102216,65,458
1175096,65,458
1175099,7,1965294
724,1,110
1164658,2,314
1168793,5,1957236
17612,2,314
1173613,4,183
265,1,1
15694,1,123
22630,1,37
58473,1,72
604827,1,10
31035,1,49
22779,1,1
5449,2,1057
14526,1,2
1166558,1,73
1168376,6,762
136333,9,208
196205,1,1
1129257,8,1706044
113314,65,21118
1171739,1,61
13429,2,223
100,1,1
18870,1,158
732,1,110
23,1,2
24478,2,223
20732,3,392
1064208,9,1708303
97185,3,282
10715,9,378
1168498,2,314
2429,1,2
243813,1,99
54510,4,183
433,1,10
9958,1,49
2801,1,60
1859,1,1
62,1,2
1064211,9,1708303
321,1,1
180828,7,21032
1164486,1,1
165308,9,378
243836,1,99
1163482,8,402
16662,1,2
1164629,1,2
9057,9,1515864
85347,2,627
31039,1,1
129155,9,378
57194,1,1
1169988,7,3631
1168899,2,314
2126,1,2
18727,2,1057
1173144,2,916
400535,1,1
19504,2,314
1168352,65,21118
1171479,2,314
1174774,3,282
536588,1,158
1079266,2,916
8576,4,1517767
537,1,60
165331,9,378
165291,9,378
1168491,65,4183
24970,1,1
135,1,1
171108,1,1
1163164,9,1661
127694,65,263
128,1,1
8011,1,2
35229,4,536
31173,3,649
40417,2,223
493533,9,1708303
1174434,65,458
1173079,6,762
23108,1,1
167867,1,60
1125753,8,2583
14667,4,183
121,1,1
31292,1,1
1172813,4,183
343,1,1
6607,1,119
113967,2,444
1164389,6,762
23174,2,314
1173265,1,2
523,1,60
5353,1,2
72319,65,21118
409543,65,1951986
117536,5,1957236
88,1,1
1012442,9,1017
47725,65,1951986
702,1,104
473123,9,1017
1023470,4,3193
1169131,65,635
560966,1,10
2101,1,2
77,1,2
415,1,37
40,1,2
1088038,9,1515864
315323,1,1
298766,7,1965294
2965,2,650
534,1,60
18539,4,183
18235,2,377
401256,1,1
1171,1,123
560161,1,1
335641,65,4183
18108,1,1
117649,2,627
1163172,9,1661
499976,2,1057
1166492,2,314
593,1,73
254184,7,1965294
1064158,9,1708303
674,1,99
1173447,65,635
136719,9,8496
67898,9,5331
3244,2,650
167296,1,119
485097,9,378
893241,2,314
11500,2,292
398388,4,2131
318,1,1
39528,2,1057
1028807,4,7279
60223,65,458
55308,2,761
742455,1,1
480580,9,378
244673,2,1057
1164545,1,2
1173732,1,1
573671,6,762
1175788,4,183
1173159,1,49
139172,6,762
9476,2,377
408484,65,635
110,1,1
1173264,2,280
701658,2,223
367304,65,21118
762,1,119
2527,1,2
121997,9,1515864
1172807,1,1
71911,65,219
1164490,4,284
469,1,49
758,1,119
41226,2,314
17958,1,1
12856,1,2
177664,65,21118
1175924,9,1017
14563,1,153
19728,2,628
19191,1,2
169174,1,1
1170852,1,1
5323,65,1951986
60512,4,706
57100,1,119
254227,5,1957236
1172220,4,183
1096672,8,4432
1170452,1,95
136720,9,8496
5540,2,552
49970,7,1965294
1170846,1,1
314354,1,60
9474,9,1515864
180716,9,208
24964,1,1
244987,1,99
30894,4,730
133711,5,1957236
1786,1,2
284,1,1
158790,7,21032
4298,1,2
62091,7,1965294
1171068,7,1965294
9319,1,49
214677,7,1969977
10327,4,205
5372,3,392
97415,6,762
91838,6,762
56356,1,2
27268,4,361
165295,9,378
469945,9,1661
1171802,1,1
1034684,2,314
